sst_predict,sst_real
4.755000000000002,6.2
4.607999999999996,4.5
4.785999999999997,5.3
5.119999999999997,4.4
5.046999999999999,5.5
4.985,3.9
4.985999999999997,5.2
4.718999999999999,4.3
5.726,5.1
4.803,4.3
4.6030000000000015,4.9
5.124999999999996,4.2
4.715999999999995,4.5
4.638000000000002,4.2
4.586000000000001,6.0
4.679999999999997,4.2
4.978999999999998,5.2
4.932999999999995,5.2
5.004999999999999,6.2
4.554999999999997,4.5
4.979999999999995,5.4
4.918000000000001,3.9
4.456,5.0
4.9430000000000005,4.3
4.549999999999997,4.3
4.965000000000002,4.2
5.0379999999999985,5.0
4.812000000000001,4.4
4.658,5.6
4.882,4.5
4.844999999999996,5.7
4.510999999999995,4.2
4.566999999999997,5.1
4.783999999999999,4.3
4.820999999999999,6.0
5.004000000000003,4.3
4.714000000000002,6.0
4.780000000000004,4.5
5.182,4.4
4.804999999999995,3.8
4.788999999999998,5.9
4.518999999999998,4.0
4.847,5.7
4.4430000000000005,4.2
5.390999999999999,4.4
4.428999999999999,4.1
4.800999999999998,5.0
4.747999999999998,4.5
4.948,4.3
4.376999999999996,5.6
4.61,4.2
4.783999999999997,4.2
5.0049999999999955,5.2
5.063999999999997,4.4
4.579999999999999,5.3
4.644,4.5
5.225000000000001,4.4
5.035,4.4
4.637999999999999,4.2
5.1539999999999955,4.2
4.538,6.2
5.296000000000006,4.5
5.076000000000001,5.9
4.779,4.6
4.803,6.0
5.515999999999999,4.1
5.058000000000002,5.3
4.754999999999999,4.2
5.021,5.9
4.743000000000004,4.3
5.351,6.1
5.330999999999999,4.6
5.551,6.0
5.4,4.4
4.952,6.3
5.194000000000001,4.1
4.8650000000000055,6.9
5.189,4.2
5.1370000000000005,6.3
5.166,4.6
5.376000000000001,6.1
5.095999999999998,4.5
4.901000000000002,6.1
5.216,4.9
5.4700000000000015,5.0
5.025000000000001,4.1
5.382999999999999,6.2
5.104000000000001,4.5
5.001,5.9
5.167000000000004,4.7
4.918000000000001,4.8
5.088000000000003,4.5
4.958000000000001,4.4
5.0089999999999995,4.6
4.978,6.0
4.7650000000000015,4.5
5.249,5.6
5.090000000000002,4.6
5.155,4.6
4.920000000000001,4.9
5.479,5.4
4.9790000000000045,4.3
5.522000000000002,5.8
4.8530000000000015,5.1
4.615000000000001,6.0
5.550999999999998,5.0
5.433000000000003,6.0
4.944000000000002,4.6
5.093,4.3
5.063999999999998,4.1
5.455999999999998,6.2
5.3229999999999995,4.5
4.740000000000002,5.6
5.199000000000002,4.2
5.079,5.5
5.038000000000003,4.7
5.067999999999999,5.0
5.291000000000001,4.6
5.292000000000002,4.5
4.850999999999998,4.5
5.1350000000000025,5.4
5.0859999999999985,5.1
4.8260000000000005,6.0
5.809999999999999,5.6
5.021,6.0
5.055,5.0
5.517000000000001,6.2
5.050999999999998,4.6
5.127000000000002,5.8
5.278,5.2
5.404000000000003,6.0
5.2559999999999985,4.7
5.664,5.2
5.343000000000001,5.1
5.0230000000000015,6.0
5.405,4.5
5.349999999999999,6.3
5.2600000000000025,4.5
4.953999999999999,6.2
5.084000000000001,4.4
5.298000000000003,5.1
5.546,4.4
5.5219999999999985,6.4
5.822999999999995,4.5
5.024,5.8
5.531999999999997,4.3
5.475999999999997,5.9
