firmeza_predict,firmeza_real
102.43599999999998,86.8
91.94350000000004,89.4
97.48650000000004,86.75
105.059,91.6
89.22149999999998,98.45
90.62399999999998,92.85
91.898,95.9
95.635,97.05
91.62099999999997,120.0
88.33949999999996,116.0
95.8935,75.45
101.571,93.8
91.10099999999996,95.25
91.21049999999997,80.9
86.64899999999996,83.2
91.92749999999992,77.35
105.332,103.5
100.41499999999998,82.0
86.01049999999994,107.7
92.23899999999998,88.95
95.86299999999996,83.45
95.51399999999997,97.65
94.592,113.2
95.63449999999996,99.85
90.17049999999998,80.8
90.54850000000002,99.05
91.6795,95.4
92.15449999999996,97.2
90.96550000000003,100.0
97.43250000000003,113.85
96.03750000000002,102.35
97.45299999999996,83.8
91.49500000000002,87.95
91.1645,89.7
93.38649999999996,88.55
100.18500000000004,79.15
103.40799999999996,97.55
87.83649999999996,104.5
94.15,98.8
96.51199999999996,98.45
107.00500000000004,87.9
90.739,91.85
97.45950000000002,102.4
94.83350000000002,97.75
88.419,87.7
97.628,100.7
94.03450000000008,93.9
85.431,95.55
92.55550000000004,86.75
90.64699999999998,83.25
87.28,111.9
86.615,84.0
98.83700000000003,105.7
95.2755,102.45
91.50449999999996,90.7
92.68100000000004,74.95
97.25850000000004,78.95
96.926,71.4
98.67949999999992,93.5
96.86949999999996,73.35
94.34049999999996,104.1
102.2685,101.4
108.18150000000006,91.6
99.27249999999998,102.05
121.61049999999996,112.3
97.76749999999996,99.75
107.30450000000006,93.25
109.40699999999991,97.5
113.21250000000008,96.1
101.921,83.65
120.18899999999992,120.45
112.61350000000004,108.95
115.1595,114.45
124.83399999999996,129.65
122.575,85.75
105.49049999999997,93.55
109.33950000000006,97.55
116.85349999999998,102.15
122.96549999999998,85.25
103.14700000000003,99.3
115.03400000000008,145.2
123.39250000000004,124.3
125.70400000000004,139.3
124.04849999999996,128.4
119.79049999999994,129.85
117.527,114.85
102.589,100.9
100.4595,119.5
114.03600000000007,117.85
120.07799999999996,123.4
121.81499999999998,109.0
117.61649999999996,103.9
126.23249999999996,108.4
110.99199999999998,123.75
117.6705,103.4
121.2045,123.05
127.1670000000001,112.25
94.12300000000003,135.05
118.6995,135.95
113.449,159.1
121.84749999999994,124.25
120.81449999999997,133.85
129.931,138.15
114.372,119.4
114.29300000000003,138.2
128.02300000000002,138.25
123.35949999999997,133.8
104.50850000000008,135.4
