massa_predict,massa_real
38.005239213394496,57.64
36.836722876386936,56.6
56.35649291728257,66.88
49.348120547683685,66.46
62.131299597548455,70.03
40.00412882898397,59.7
41.04038975779633,61.21
43.99142725141777,60.87
32.735690715471435,52.41
44.72310000138407,59.19
36.869331190265115,56.9
63.985150289566356,70.62
35.73676686430113,55.33
26.0794335560542,49.08
39.06981571460699,57.57
39.86800941133174,59.06
32.18936977710334,55.58
38.70308905935536,59.8
30.5871307342066,53.92
56.60966238734457,66.78
48.965192268827245,61.29
48.885215803081515,61.43
55.497497809649296,67.34
63.34056363435121,71.72
72.1108374154043,73.6
65.6440533990407,70.07
38.15243537161169,56.0
28.877294170305877,53.05
59.589851885052155,66.3
47.1478097255606,59.82
64.23497619673553,72.33
53.18000197701596,67.27
61.31839673263926,70.32
42.812376971836045,56.16
56.479395658266185,64.51
66.14381255140154,70.61
49.73735896034842,61.8
47.313541803377895,63.58
41.145552486698676,55.03
29.50747768886177,50.01
40.104021174022726,55.73
43.1045511908526,59.96
44.45014065304935,62.0
74.10595417961392,75.37
36.708022177890776,55.47
33.49283362724685,53.25
64.68383797749519,69.27
40.693897838299186,56.21
75.65910320661985,77.31
69.47663843805478,73.96
71.26320061140893,75.45
52.36155387995457,64.71
50.99394289265661,63.33
65.43778833688009,70.05
78.02375207132349,80.85
40.055389771203274,60.12
62.69911926156269,68.24
39.157162538488905,56.91
68.45849069336447,73.66
54.29351791372693,65.83
152.65535184475738,139.29
181.6029706434058,170.77
199.2977771563997,178.56
162.51673727956145,152.09
219.2133092302185,200.17
181.6374752537117,158.29
195.05680843313363,117.13
193.7558764649989,182.44
195.65285378365908,175.49
177.57848234202015,162.57
212.90588987719917,200.35
185.08075823868518,173.34
195.70555910477736,166.68
230.5645878241036,210.48
201.72189686414174,185.06
168.77458017208417,149.43
194.71249649977122,172.58
224.2296923395704,190.78
209.6701115916288,200.87
191.18374650388245,167.43
191.48490686003083,178.95
240.97802816263462,210.38
218.57199161093519,195.05
222.41090625175556,204.89
214.238804069063,188.4
204.99352385858535,181.98
184.99135613496964,162.44
182.82383873184293,158.95
189.5066716821209,168.63
203.4488173991494,175.73
223.4015263041836,206.45
214.2569871359137,199.17
217.6098637413848,200.58
206.4880379421953,180.82
265.17782698473627,234.3
222.37234369566485,202.35
209.09554004280014,187.34
171.6710704481599,153.53
222.07498994530806,183.71
201.78110875020823,167.92
256.6070171347548,220.77
210.49865076559087,186.72
257.50971653682234,238.76
209.28586843738,192.82
212.54054574478317,190.48
263.1796151635733,225.42
266.04157211048613,235.17
196.809561062127,181.56
251.66549870023664,216.87
200.10734606629487,178.34
215.48132735613962,191.13
189.01819398110985,162.22
195.47319144981319,177.95
211.1436402022292,185.14
226.5055113902539,198.69
232.0184900746733,203.0
261.8481332465234,235.48
214.36371687206588,187.8
232.79140406430648,213.26
245.6905122890559,219.77
338.64284345770716,302.48
303.23232692523885,26.7
306.42225326431117,255.82
351.19874393597223,306.27
338.96799531279515,293.88
343.0045937990272,308.68
385.59907122394935,356.74
360.5908025905272,331.68
328.23643986599023,289.96
335.78669214462604,296.4
352.18691462256277,307.65
366.02986037857073,327.88
374.8237802926584,322.3
329.1654273574252,294.56
370.745747496656,327.64
357.6845848495723,298.93
350.4190974559029,299.11
362.1756324589769,307.0
373.8623251220878,342.31
335.4899864908797,298.52
370.93752512941313,326.29
375.6366302539472,330.52
416.6687911343264,379.54
391.3718522909895,356.41
302.218203191636,275.41
378.5552330431352,336.38
329.7849096482297,299.69
358.00860982644423,310.29
364.24888938126566,319.61
331.51131937436526,291.83
371.7005325046376,325.15
330.07131379448856,294.24
337.5808554636709,300.4
373.9820957858154,324.52
364.9294684139954,325.33
355.2614773268936,308.23
324.46776544561783,288.63
313.3778544753119,270.1
286.7799236855623,245.45
362.7440115282679,322.61
340.35952918051134,290.19
326.76945051594817,290.92
294.53112242216355,263.7
359.8865487209506,317.08
325.0470346462675,280.59
324.38470501966646,289.49
312.88618039508566,280.13
333.34059839888903,292.28
328.6654954610272,293.66
288.2956454320742,248.97
301.29381084615227,259.86
357.62553755461744,315.11
343.8427101890766,313.21
347.07290451550836,297.86
330.4549269810016,286.33
335.2761721905635,301.85
348.56552537082086,312.54
324.29885379571016,291.88
370.04940945057166,322.2
343.8197106832061,298.83
549.3753264310593,526.45
457.25063650315974,439.75
474.00032737386965,457.97
496.2365951195726,477.46
492.4833792675114,477.18
466.8089322263557,440.15
457.04814700355126,437.43
464.61932640917024,449.77
489.6546707106186,465.46
436.55711206347024,405.73
478.31775137350485,452.2
435.0760316130825,408.8
462.58737842665045,434.09
428.1957944305109,403.47
456.7620738898648,427.69
443.9965949048034,422.72
414.2397635951879,391.55
464.99996643112183,433.25
437.1966814168787,426.15
492.64756573642387,481.91
494.69863468142944,463.26
444.2819490247777,405.84
522.9477064259331,526.14
460.10407174897347,486.53
421.66531968624986,397.9
420.4726244134105,386.68
388.81951546125566,457.48
450.1883252408173,418.91
426.358613779437,405.84
488.99385478134917,467.98
391.55059553230797,372.08
462.90159076345293,431.69
441.5458484803961,421.13
439.94200462628237,412.86
457.61753983061476,473.38
478.1581245453666,462.73
424.01347093286466,403.14
526.3428947342028,480.92
449.7458238381262,423.45
