massa_predict,massa_real
55.71090000000001,57.64
56.23399999999996,56.6
67.48010000000004,66.88
64.14070000000004,66.46
68.77130000000001,70.03
58.06119999999999,59.7
58.9138,61.21
60.79830000000002,60.87
55.538399999999974,52.41
60.981,59.19
56.16169999999998,56.9
70.00820000000002,70.62
55.9331,55.33
53.43850000000005,49.08
56.69289999999995,57.57
64.79269999999998,59.06
53.26830000000002,55.58
56.308999999999955,59.8
53.406300000000066,53.92
67.0411000000001,66.78
62.97810000000001,61.29
61.50200000000002,61.43
66.19170000000007,67.34
72.10010000000003,71.72
73.8197,73.6
71.94059999999998,70.07
56.74910000000004,56.0
54.70090000000002,53.05
68.86140000000003,66.3
61.64900000000003,59.82
70.62580000000001,72.33
66.91010000000001,67.27
68.82760000000003,70.32
60.02239999999997,56.16
67.42590000000007,64.51
72.0257,70.61
61.142699999999984,61.8
60.68389999999997,63.58
58.3717,55.03
53.703100000000006,50.01
57.104300000000045,55.73
60.18159999999999,59.96
74.91389999999998,62.0
75.0264,75.37
57.0219,55.47
53.1535,53.25
74.33779999999997,69.27
57.621200000000016,56.21
77.30800000000005,77.31
71.89849999999998,73.96
74.4,75.45
63.5567,64.71
69.50059999999998,63.33
73.01059999999994,70.05
74.63699999999997,80.85
57.902799999999935,60.12
69.4071,68.24
55.82110000000001,56.91
75.18889999999995,73.66
67.79610000000007,65.83
153.66490000000016,139.29
153.17300000000014,170.77
175.0892,178.56
150.78400000000016,152.09
195.51059999999973,200.17
164.1138,158.29
177.25409999999997,117.13
155.1677,182.44
170.41060000000004,175.49
157.9623000000002,162.57
195.24659999999992,200.35
162.2433,173.34
174.29449999999997,166.68
207.5873,210.48
174.81479999999996,185.06
157.95590000000016,149.43
173.67819999999998,172.58
200.19679999999968,190.78
190.16659999999993,200.87
168.82969999999986,167.43
165.88959999999994,178.95
213.80809999999985,210.38
193.1234999999998,195.05
195.57839999999996,204.89
193.4145,188.4
184.89189999999982,181.98
159.76030000000006,162.44
166.4475000000001,158.95
157.05040000000014,168.63
188.9608,175.73
204.8983999999999,206.45
193.8391999999998,199.17
195.13669999999985,200.58
186.1036,180.82
234.1137,234.3
193.34539999999993,202.35
189.07699999999986,187.34
133.65179999999992,153.53
194.28809999999982,183.71
183.05540000000005,167.92
233.7279999999998,220.77
187.2331,186.72
224.28729999999985,238.76
188.56209999999996,192.82
186.85729999999984,190.48
231.6695999999997,225.42
