sst_predict,sst_real
10.221137956792221,6.2
10.275407599062095,4.5
10.16688937121105,5.3
10.278360497598753,4.4
10.144655600543524,5.5
10.016852422455884,3.9
10.06000663501612,5.2
10.134102039627624,4.3
10.211248800096813,5.1
10.055494977832883,4.3
10.159430992245289,4.9
10.074469162560655,4.2
10.095044767339358,4.5
10.235931829240252,4.2
9.993842852859624,6.0
10.201678848384557,4.2
10.149277311547374,5.2
10.039895908098076,5.2
10.229576910949344,6.2
10.213850689388154,4.5
10.085623262053906,5.4
10.271661937130547,3.9
10.157499198012657,5.0
10.140528150291876,4.3
10.076856670411352,4.3
10.209753465459114,4.2
10.278080470373311,5.0
10.19679489990563,4.4
10.010803155381444,5.6
10.225789198899523,4.5
9.981264379638084,5.7
10.17835687342757,4.2
10.275170321882168,5.1
10.174217921751094,4.3
10.095639203310801,6.0
10.04975069078149,4.3
10.134752177258475,6.0
10.175350197588637,4.5
10.219461965093627,4.4
10.08969420866917,3.8
10.050350599529995,5.9
10.124639437006909,4.0
10.060006473826917,5.7
10.2179975479349,4.2
10.1784130462861,4.4
10.067303193070249,4.1
10.142284645779293,5.0
10.146156230766737,4.5
10.192883544242486,4.3
10.126283090798145,5.6
10.220516813772845,4.2
10.159934999445255,4.2
10.183165871761211,5.2
10.045404455031099,4.4
10.102335106789043,5.3
10.15770770224964,4.5
10.030371375053756,4.4
10.118509797974834,4.4
10.21196494654921,4.2
10.004608095907106,4.2
10.192520896403671,6.2
10.10282597736304,4.5
10.195606405556463,5.9
10.04505073650868,4.6
10.195688863395084,6.0
10.07586232535236,4.1
10.055079276137212,5.3
10.03977652697752,4.2
10.08703912096968,5.9
10.170766357832123,4.3
10.157179360070149,6.1
10.156512039875416,4.6
10.127748539929774,6.0
10.00506933656268,4.4
10.1453356792054,6.3
10.120851410302645,4.1
10.12014504573528,6.9
10.025722687547127,4.2
10.252287817624227,6.3
10.155048698278069,4.6
10.124308632226029,6.1
10.029167581592336,4.5
10.21911822502681,6.1
10.187804253751606,4.9
10.216188882252846,5.0
10.131627387233717,4.1
10.219541307755259,6.2
10.206327238933497,4.5
10.021518284689364,5.9
10.033347587247993,4.7
10.109717623300147,4.8
9.962544827291495,4.5
10.027887614539939,4.4
9.959300531692252,4.6
10.04289815929224,6.0
10.01297823319294,4.5
10.10165823603361,5.6
10.195027456978217,4.6
10.013103578467042,4.6
10.18537547655316,4.9
10.24947147605221,5.4
10.11053688102494,4.3
10.211350811249476,5.8
10.125600608410345,5.1
9.980367914210554,6.0
10.137836052685106,5.0
10.121913965371776,6.0
10.124483391128866,4.6
10.09433346656524,4.3
10.187462657412217,4.1
10.124900802657235,6.2
10.11920576307832,4.5
10.105696177808618,5.6
10.148115638522604,4.2
10.125078216221102,5.5
9.968054491013664,4.7
10.095342838750383,5.0
10.145627860761586,4.6
10.028007282007431,4.5
10.03983269258805,4.5
10.02494011792378,5.4
9.989971494141423,5.1
9.934912289890207,6.0
10.093975762085254,5.6
10.232187480887266,6.0
10.12731310986297,5.0
10.200776912632444,6.2
9.956072228540958,4.6
10.2432019865626,5.8
9.987614296996137,5.2
10.080091329524711,6.0
10.000954228770468,4.7
9.973595290002233,5.2
10.018359371263113,5.1
9.98110070935526,6.0
10.006690202338085,4.5
10.142097131883624,6.3
10.095807220865645,4.5
9.8691979124665,6.2
9.894258344317914,4.4
10.09175741509994,5.1
10.151759148388347,4.4
10.121387889295232,6.4
10.048107991277538,4.5
10.034231085765652,5.8
10.090214685945297,4.3
9.981461748386304,5.9
10.072418206800032,4.4
10.087026913166305,5.6
9.97929228578438,4.4
10.024298729364816,5.8
9.982797976586788,4.0
10.103738084954204,5.8
10.035607402848898,4.8
10.097124581909819,6.0
10.11356017225716,5.0
9.954409114629806,5.4
10.108888874257637,4.3
10.057449518197318,6.0
9.966354862786831,4.7
10.067940694074883,6.0
10.100970021843253,4.6
10.143595257872652,5.4
10.119564516348767,4.6
10.025193070375074,5.8
10.046810497244877,4.5
10.193320810344755,6.0
10.011832720998244,4.5
9.961191632112119,5.2
10.124807668740207,4.9
9.911717406869316,5.8
10.011379215479769,4.7
10.071523615237462,5.9
10.12545914971623,4.5
10.092032473687317,5.6
10.053529905697138,4.6
9.970460084056318,5.8
10.139062977731607,5.3
9.938252172957396,5.8
10.04069578764426,4.9
9.986206771001136,6.0
9.974562254789907,5.1
10.194686903984053,6.2
9.998046599962166,5.2
10.194488957057093,5.1
10.05093123431568,7.0
10.15622783243371,6.4
10.15805382892866,4.6
10.214937893733335,5.8
9.984457124190946,6.0
10.113610228786706,6.8
9.954929045581164,6.3
10.110322212863561,6.8
10.051183270755043,6.4
10.073178228657373,6.0
10.281737160182598,5.8
10.172279290983623,5.8
10.217608876294477,5.4
9.952842428732444,5.5
10.092970357032211,6.0
10.090804417995171,5.8
9.99926080381753,6.0
10.034208661218026,6.0
10.282693170221556,6.2
10.179318877486645,6.2
10.107091990923012,6.0
10.221264104570047,5.4
10.141034172477095,6.0
10.174331768627235,5.0
10.047713024643457,5.4
